Id,MSZoning,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Foundation,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,PavedDrive,CentralAir,KitchenQual,SalePrice
103,RM,7009,Indiranagar,1Fam,1Story,6,3,1983,1990,PConc,475.0,567,346,913,3,0,3,7,2,0.0,0.0,Y,N,Ex,12160498
104,RL,8639,Indiranagar,1Fam,2Story,4,6,1986,1990,PConc,1375.0,1472,611,2083,3,1,5,10,0,3.0,550.0,Y,Y,Gd,15262585
105,RM,9366,Malad,Duplex,1Story,9,8,1987,2001,PConc,1224.0,1419,884,2303,3,1,3,7,0,0.0,0.0,Y,Y,TA,11089568
106,RL,5282,Whitefield,1Fam,1Story,6,3,2014,2014,PConc,553.0,741,254,995,1,1,2,4,2,0.0,0.0,Y,N,TA,10286785
107,RL,6940,Koramangala,Apartment,1Story,10,8,2021,2021,CBlock,451.0,836,58,894,3,0,2,6,2,0.0,0.0,Y,N,Ex,12191251
108,RL,5907,Malad,1Fam,1Story,5,8,1998,2007,CBlock,822.0,1310,221,1531,3,0,4,9,1,0.0,19.0,Y,Y,TA,9082463
109,RL,8193,Powai,Apartment,1Story,10,6,1989,1998,PConc,725.0,1015,271,1286,2,1,5,8,2,,203.0,Y,Y,Fa,9563293
110,RM,6535,Koramangala,Apartment,1Story,6,6,2022,2024,CBlock,1150.0,910,762,1672,2,1,4,8,2,0.0,50.0,N,N,TA,12514443
111,RL,7058,Saket,Duplex,1Story,8,6,1996,2012,PConc,1331.0,1865,338,2203,2,1,3,6,2,0.0,0.0,Y,Y,TA,11932724
112,C,6459,Koramangala,1Fam,1Story,3,3,1987,1992,PConc,466.0,349,251,600,1,1,5,7,0,2.0,409.0,Y,Y,Ex,10658138
113,RM,6787,Whitefield,1Fam,1Story,3,9,1973,1975,CBlock,996.0,2134,256,2390,1,0,4,7,1,1.0,293.0,Y,Y,Gd,12628618
114,RL,10409,Koramangala,Duplex,2Story,7,6,1970,1982,BrkTil,839.0,872,524,1396,1,1,5,7,0,2.0,378.0,Y,Y,TA,9762198
115,RL,11781,Saket,1Fam,2Story,7,3,2019,2024,CBlock,1175.0,1314,541,1855,2,0,5,9,2,1.0,185.0,N,N,Ex,13300814
116,RL,7754,Whitefield,Duplex,1Story,10,6,1970,1977,PConc,1466.0,1289,620,1909,3,0,4,9,1,3.0,660.0,Y,Y,Ex,16070752
117,RM,6800,Viman Nagar,Duplex,1Story,9,7,1995,2009,BrkTil,825.0,1828,139,1967,2,0,5,8,2,3.0,552.0,N,Y,Fa,11217643
118,RL,3808,Indiranagar,1Fam,2Story,5,8,2014,2024,CBlock,1025.0,918,712,1630,1,1,3,5,0,1.0,265.0,Y,Y,TA,13305457
119,RL,5479,Indiranagar,1Fam,1Story,8,6,1989,2005,CBlock,1295.0,1367,380,1747,2,1,2,6,0,3.0,588.0,Y,Y,Gd,14638348
120,RL,6746,Sector17,1Fam,2Story,4,4,2021,2024,BrkTil,866.0,995,749,1744,3,1,2,7,2,3.0,558.0,Y,Y,Gd,13004570
121,RL,5569,Viman Nagar,1Fam,1Story,6,8,1992,2008,CBlock,963.0,1094,190,1284,1,0,5,7,1,1.0,,N,Y,Gd,11278550
122,FV,5780,Viman Nagar,Apartment,1Story,9,8,1979,1984,CBlock,293.0,685,35,720,3,0,2,6,0,0.0,0.0,N,Y,Ex,11344986
123,C,10150,Koramangala,Duplex,1Story,5,6,1980,1996,CBlock,686.0,710,280,990,3,1,5,9,2,2.0,491.0,Y,Y,TA,9340200
124,RL,7057,Indiranagar,1Fam,1Story,7,9,2010,2024,PConc,1196.0,1151,396,1547,1,0,4,6,2,1.0,204.0,Y,Y,Ex,17755472
125,RM,7236,Saket,Apartment,2Story,10,5,2010,2023,CBlock,799.0,1162,44,1206,3,1,3,7,2,1.0,203.0,Y,Y,TA,9654200
126,FV,5651,Andheri,1Fam,1Story,6,9,1974,1986,PConc,694.0,917,290,1207,2,0,2,6,1,1.0,170.0,Y,Y,TA,9549206
127,RL,9355,Andheri,1Fam,SplitLevel,7,6,1970,1975,BrkTil,1044.0,1858,641,2499,3,0,4,9,2,2.0,392.0,Y,Y,TA,10842910
128,RM,6574,Whitefield,1Fam,1Story,10,8,1986,1988,CBlock,1558.0,1601,428,2029,3,0,3,8,2,1.0,186.0,Y,Y,TA,13840679
129,RL,5958,Indiranagar,Apartment,SplitLevel,6,4,1991,2004,CBlock,866.0,1244,229,1473,3,0,2,7,0,2.0,466.0,Y,N,Ex,14258307
130,RM,3838,Indiranagar,Apartment,1Story,4,8,2003,2016,PConc,796.0,1071,865,1936,2,0,2,5,2,2.0,,Y,Y,TA,13361634
131,RM,6877,Andheri,1Fam,1Story,5,9,2014,2024,CBlock,938.0,1264,125,1389,3,0,3,8,1,3.0,635.0,Y,N,TA,10236386
132,FV,5895,Indiranagar,1Fam,2Story,6,4,2010,2017,PConc,980.0,1187,468,1655,3,0,4,8,2,0.0,4.0,N,Y,TA,14732883
133,RL,10369,Koramangala,1Fam,1Story,8,3,1998,2012,CBlock,818.0,975,845,1820,2,1,4,7,1,,579.0,Y,Y,Ex,14345824
134,RM,10687,Powai,Duplex,2Story,9,7,1973,1985,CBlock,675.0,1242,149,1391,1,0,2,4,2,1.0,218.0,Y,Y,Gd,11931377
135,RL,4529,Bandra,1Fam,1Story,3,8,1974,1990,PConc,535.0,865,392,1257,1,0,3,5,2,1.0,279.0,Y,Y,Gd,12118593
136,RL,4755,Viman Nagar,1Fam,2Story,8,6,1980,1982,PConc,1392.0,1216,995,2211,1,1,4,6,2,2.0,347.0,Y,Y,TA,12012071
137,FV,6447,Sector17,Duplex,1Story,8,3,2020,2024,CBlock,1237.0,1557,350,1907,3,1,3,8,1,3.0,620.0,Y,Y,TA,13283514
138,RM,5367,Whitefield,1Fam,2Story,9,7,1990,1994,PConc,361.0,564,36,600,1,1,3,5,0,2.0,474.0,N,Y,TA,10456247
139,RL,7434,Powai,1Fam,2Story,3,6,2004,2020,PConc,919.0,1194,71,1265,2,1,2,5,1,3.0,559.0,Y,Y,TA,12105421
140,RM,6346,Andheri,1Fam,2Story,8,5,1981,1982,PConc,899.0,1183,26,1209,3,0,3,7,0,3.0,646.0,Y,N,Ex,10659013
141,RL,7561,Viman Nagar,Duplex,1Story,6,6,1995,2009,PConc,833.0,1203,86,1289,3,0,3,8,1,3.0,646.0,Y,Y,TA,10863783
142,RL,9032,Indiranagar,Apartment,SplitLevel,6,4,2020,2024,CBlock,822.0,1017,1014,2031,3,1,5,9,2,3.0,535.0,Y,Y,Gd,14256644
143,RM,4871,Sector17,1Fam,SplitLevel,6,4,1988,2007,BrkTil,1091.0,1110,499,1609,1,0,3,5,2,,655.0,N,Y,Ex,13849405
144,RL,8990,Indiranagar,1Fam,SplitLevel,3,5,2014,2019,CBlock,513.0,822,83,905,1,1,4,6,0,0.0,0.0,Y,N,TA,8810348
145,RL,5542,Saket,1Fam,2Story,8,3,1976,1981,PConc,881.0,961,447,1408,1,0,2,5,0,1.0,217.0,Y,Y,Gd,9688744
146,RM,11296,Saket,1Fam,1Story,10,7,2016,2024,CBlock,1233.0,1497,373,1870,3,0,2,6,1,3.0,651.0,Y,N,Gd,12311120
147,RL,10241,Sector17,1Fam,1Story,3,6,1976,1993,CBlock,804.0,1196,294,1490,2,0,3,7,1,3.0,660.0,Y,Y,TA,10021563
148,RL,6773,Sector17,1Fam,SplitLevel,6,4,1995,1998,CBlock,979.0,871,406,1277,3,0,3,8,0,2.0,323.0,Y,Y,Fa,8317883
149,RL,5072,Andheri,1Fam,SplitLevel,9,3,2009,2024,PConc,800.0,1680,85,1765,2,0,4,7,0,1.0,289.0,N,Y,Gd,13177659
150,FV,4690,Sector17,Duplex,1Story,8,5,1974,1987,PConc,1610.0,1810,599,2409,3,1,5,10,1,1.0,270.0,Y,Y,Gd,12737794
151,C,8747,Koramangala,1Fam,1Story,8,9,1990,2003,CBlock,735.0,1340,490,1830,2,0,2,6,0,1.0,252.0,Y,Y,Ex,14744064
152,RL,6939,Indiranagar,Apartment,SplitLevel,7,8,1983,1995,PConc,1732.0,2247,3,2250,3,0,5,9,0,3.0,618.0,Y,Y,Fa,11698337
153,RL,8853,Powai,1Fam,1Story,7,9,1973,1979,BrkTil,,978,333,1311,3,0,4,8,0,2.0,378.0,N,Y,Gd,11501726
154,RM,11408,Malad,1Fam,1Story,4,9,1992,2003,CBlock,698.0,939,656,1595,2,0,2,5,0,1.0,145.0,Y,Y,Ex,11171858
155,RM,5459,Sector17,1Fam,SplitLevel,10,4,2011,2024,PConc,845.0,1199,386,1585,2,0,4,7,2,2.0,318.0,Y,Y,Gd,13023429
156,RL,4539,Whitefield,1Fam,2Story,10,5,1989,2007,CBlock,911.0,1504,155,1659,2,1,3,7,2,0.0,,Y,Y,Ex,15974634
157,RL,7385,Saket,Apartment,SplitLevel,5,6,1984,1994,PConc,884.0,1616,204,1820,2,0,4,8,0,0.0,52.0,Y,N,Gd,9053934
158,FV,9289,Koramangala,Duplex,1Story,10,9,2019,2024,PConc,722.0,1019,121,1140,2,1,3,6,1,2.0,395.0,Y,Y,Ex,14665345
159,RL,5119,Viman Nagar,1Fam,1Story,7,9,2021,2024,PConc,1109.0,1642,281,1923,2,0,5,8,2,3.0,576.0,N,Y,Ex,16049593
160,RL,7069,Malad,Duplex,2Story,3,7,2014,2016,PConc,325.0,492,294,786,2,0,2,5,1,1.0,203.0,Y,Y,Ex,10273376
161,RM,9740,Powai,Apartment,2Story,10,4,1998,2014,PConc,491.0,867,65,932,2,1,2,6,1,0.0,0.0,Y,N,TA,10228220
162,RL,3734,Malad,1Fam,1Story,7,4,1977,1979,PConc,1931.0,2524,143,2667,3,0,5,9,2,0.0,1.0,N,Y,Fa,9788037
163,RL,7470,Sector17,1Fam,SplitLevel,4,6,2010,2024,PConc,908.0,802,542,1344,2,0,3,7,1,2.0,365.0,Y,Y,Gd,10858155
164,FV,5919,Andheri,1Fam,SplitLevel,8,8,2017,2024,PConc,1355.0,1110,854,1964,2,1,2,6,1,3.0,630.0,Y,N,TA,12019989
165,RL,7248,Saket,Apartment,1Story,10,3,1988,1991,CBlock,1663.0,2419,30,2449,3,0,4,9,0,2.0,462.0,Y,Y,TA,10934293
166,RL,8419,Saket,1Fam,1Story,4,7,2017,2019,PConc,314.0,560,40,600,3,1,3,8,0,2.0,425.0,N,Y,Gd,8074360
167,RL,7441,Viman Nagar,1Fam,1Story,8,4,2008,2023,PConc,951.0,2047,116,2163,1,1,2,4,0,2.0,395.0,Y,Y,Gd,14722868
168,C,4979,Andheri,1Fam,1Story,9,7,2015,2024,PConc,979.0,1814,110,1924,1,1,4,6,2,2.0,449.0,Y,Y,TA,13156004
169,RM,5997,Indiranagar,1Fam,1Story,9,4,1997,2004,PConc,1773.0,1865,555,2420,2,0,4,7,0,2.0,400.0,Y,Y,Gd,16029249
170,RL,9853,Bandra,Duplex,1Story,8,7,2015,2024,BrkTil,799.0,830,179,1009,2,0,2,6,1,3.0,647.0,Y,N,TA,11837037
